SampleID	Env	SourceSink
D1	infant	Source
D2	infant	Source
D3	infant	Source
D4	infant	Source
D5	infant	Source
D6	infant	Source
D7	infant	Source
D8	infant	Source
D9	infant	Source
D10	infant	Source
D11	infant	Source
D12	infant	Source
D13	infant	Source
D14	infant	Source
D15	infant	Source
D16	infant	Source
D17	infant	Source
D18	infant	Source
D19	infant	Source
D20	infant	Sink
